Name,Team,Age,Projected_PA,HR_Park_Factor,HR_rate_raw,age_multiplier,HR_rate_final,Projected_HR
Shea Langeliers,ATH,28,521.5,100,0.0761,1,0.0761,39.7
Zach Neto,LAA,25,551.8,100,0.0685,1.05,0.0719,39.7
Teoscar Hernandez,LAD,33,597.9,100,0.071,0.93,0.066,39.5
Dansby Swanson,CHC,32,628,100,0.0674,0.93,0.0627,39.4
Vinnie Pasquantino,KCR,28,580.9,100,0.0674,1,0.0674,39.2
Bryan De La Cruz,PHI,28,623.2,100,0.0626,1,0.0626,39
Jarren Duran,BOS,29,659,100,0.0589,1,0.0589,38.8
Adolis Garcia,TEX,33,587.1,100,0.0707,0.93,0.0657,38.6
Michael Harris II,ATL,25,590.8,100,0.062,1.05,0.0652,38.5
Junior Caminero,TBR,22,492.8,100,0.0726,1.07,0.0777,38.3
Christian Walker,HOU,35,579.1,100,0.075,0.88,0.066,38.2
Yainer Diaz,HOU,27,555.1,100,0.0675,1.02,0.0688,38.2
Spencer Steer,CIN,28,609.2,100,0.0623,1,0.0623,38
Austin Riley,ATL,29,493.1,100,0.0768,1,0.0768,37.9
Cody Bellinger,NYY,30,614.7,100,0.0633,0.97,0.0614,37.7
Marcell Ozuna,ATL,35,584.2,100,0.0733,0.88,0.0645,37.7
Lawrence Butler,ATH,25,581.3,100,0.0618,1.05,0.0649,37.7
Corey Seager,TEX,32,485.3,100,0.0834,0.93,0.0776,37.7
Andy Pages,LAD,25,574.4,100,0.0619,1.05,0.065,37.3
William Contreras,MIL,28,658.1,100,0.0565,1,0.0565,37.2
Josh Naylor,SEA,29,596.9,100,0.0622,1,0.0622,37.1
Brandon Lowe,TBR,31,496.6,100,0.076,0.97,0.0737,36.6
Mookie Betts,LAD,33,622.3,100,0.0626,0.93,0.0583,36.3
Salvador Perez,KCR,36,597.3,100,0.0736,0.82,0.0603,36
Ceddanne Rafaela,BOS,25,598.6,100,0.0573,1.05,0.0601,36
